LocalID,OriginTag,Description,DeviceID,Unit,Type
/hs4sd_v1/ct02/sec_barrier///13a_bottom_cent_c/temp,CC052.01/Meas1/PRIM,CGO TK2 SEC BARRIER,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct02/sec_barrier///13b_bottom_cent_c/temp,CC052.02/Meas1/PRIM,CGO TK2 SEC BARRIER,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct02/sec_barrier///14a_aft_port_bottom_c/temp,CC053.01/Meas1/PRIM,CGO TK2 SEC BARRIER AFT PORT,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct02/sec_barrier///1a_top_c/temp,CC040.01/Meas1/PRIM,CGO TK2 SEC BARRIER,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct02/sec_barrier///1b_top_c/temp,CC040.02/Meas1/PRIM,CGO TK2 SEC BARRIER,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct02/sec_barrier///2a_aft_stbd_upp_corner_c/temp,CC042.01/Meas1/PRIM,CGO TK2 SEC BARRIER AFT STBD,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct02/sec_barrier///2b_aft_stbd_upp_corner_c/temp,CC042.02/Meas1/PRIM,CGO TK2 SEC BARRIER AFT STBD,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct02/sec_barrier///3a_fwd_port_upp_corner_c/temp,CC041.01/Meas1/PRIM,CGO TK2 SEC BARRIER FWD PORT,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct02/sec_barrier///3b_fwd_port_upp_corner_c/temp,CC041.02/Meas1/PRIM,CGO TK2 SEC BARRIER FWD PORT,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct02/sec_barrier///4a_fwd_cent_upp_c/temp,CC047.01/Meas1/PRIM,CGO TK2 SEC BARRIER FWD CENT,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct02/sec_barrier///4b_fwd_cent_upp_c/temp,CC047.02/Meas1/PRIM,CGO TK2 SEC BARRIER FWD CENT,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct02/sec_barrier///5a_aft_cent_middle_c/temp,CC049.01/Meas1/PRIM,CGO TK2 SEC BARRIER AFT CENT,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct02/sec_barrier///5b_aft_cent_middle_c/temp,CC049.02/Meas1/PRIM,CGO TK2 SEC BARRIER AFT CENT,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct02/sec_barrier///6a_fwd_port_upp_c/temp,CC043.01/Meas1/PRIM,CGO TK2 SEC BARRIER FWD PORT,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct02/sec_barrier///6b_fwd_port_upp_c/temp,CC043.02/Meas1/PRIM,CGO TK2 SEC BARRIER FWD PORT,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct02/sec_barrier///7a_aft_stbd_upp_c/temp,CC045.01/Meas1/PRIM,CGO TK2 SEC BARRIER AFT STBD,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct02/sec_barrier///7b_aft_stbd_upp_c/temp,CC045.02/Meas1/PRIM,CGO TK2 SEC BARRIER AFT STBD,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct02/sec_barrier///8a_fwd_cent_lower_c/temp,CC048.01/Meas1/PRIM,CGO TK2 SEC BARRIER FWD CENT,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct02/sec_barrier///8b_fwd_cent_lower_c/temp,CC048.02/Meas1/PRIM,CGO TK2 SEC BARRIER FWD CENT,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct02/sec_barrier///9a_fwd_port_lower_c/temp,CC044.01/Meas1/PRIM,CGO TK2 SEC BARRIER FWD PORT,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct02/sec_barrier///9b_fwd_port_lower_c/temp,CC044.02/Meas1/PRIM,CGO TK2 SEC BARRIER FWD PORT,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct02/sec_barrier///aft_port_bottom_c/temp,CC053.02/Meas1/PRIM,CGO TK2 SEC BARRIER AFT PORT,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct02/sec_sp///cont_mbar/press,CB007.02/Meas1/PRIM,CGO TK2 SEC SP,IAS,millibar,Decimal
/hs4sd_v1/ct02/sec_sp///mbar/press,CB007.01/Meas1/PRIM,CGO TK2 SEC SP,IAS,millibar,Decimal
/hs4sd_v1/ct02/trunk_space///c/temp,CC038.01/Meas1/PRIM,CGO TK2 TRUNK SP,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct02/trunk_space///mbar/press,CB032.01/Meas1/PRIM,CGO TK2 TRUNK SPACE,IAS,millibar,Decimal
/hs4sd_v1/ct03////fgp_a/current,CP032.06/Meas1/PRIM,CGO TK3 FG PP,IAS,ampere,Decimal
/hs4sd_v1/ct03////fgp_disch_bar/press,CP037.01/Meas1/PRIM,CGO TK3 FG PP,IAS,bar,Decimal
/hs4sd_v1/ct03////m/level,CTS.CT3.INST.L/Meas1/PRIM,CGO TK3 LVL EH,IAS,meter,Decimal
/hs4sd_v1/ct03////mbar/press,CB013.01/Y/PRIM,CGO TK3,IAS,millibar,Decimal
/hs4sd_v1/ct03//liq//t/vol,CTS.CT3.VOL.LIQ/Meas1/PRIM,CT3 Liquid Volume,IAS,,Decimal
/hs4sd_v1/ct03/aft_bhd///port_lower_c/temp,CC062.01/Meas1/PRIM,CGO TK3 AFT BHD PORT,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/aft_bhd///port_upp_c/temp,CC060.01/Meas1/PRIM,CGO TK3 AFT BHD PORT,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/aft_bhd///stbd_lower_c/temp,CC061.01/Meas1/PRIM,CGO TK3 AFT BHD STBD,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/aft_bhd///stbd_upp_c/temp,CC059.01/Meas1/PRIM,CGO TK3 AFT BHD STBD,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/fwd_bhd///cent_c/temp,CC054.01/Meas1/PRIM,CGO TK3 FWD BHD,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/fwd_bhd///port_lower_c/temp,CC058.01/Meas1/PRIM,CGO TK3 FWD BHD PORT,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/fwd_bhd///port_upp_c/temp,CC056.01/Meas1/PRIM,CGO TK3 FWD BHD PORT,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/fwd_bhd///stbd_lower_c/temp,CC057.01/Meas1/PRIM,CGO TK3 FWD BHD STBD,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/fwd_bhd///stbd_upp_c/temp,CC055.01/Meas1/PRIM,CGO TK3 FWD BHD STBD,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/p_way///aft_stbd_c/temp,CC063.01/Meas1/PRIM,CGO TK3 P/WAY AFT STBD,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/p_way///fwd_port_c/temp,CC064.01/Meas1/PRIM,CGO TK3 P/WAY FWD PORT,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/pipe_duct///c/temp,CC066.01/Meas1/PRIM,CGO TK3 PIPE DUCT,IAS,degree Cellisius,Decimal
